Armchair Antarctica Point Data (WGS84),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Latitude,Longitude,Parent ID,Type,Label,URL,Logo/Profile URL,Our Icon,Established or Event Date,Associated Text,Source,Source Main Site,Licensing,Notes,Jurisdiction
-72.25,155.15,82,Station,Magnetic South Pole: Australian Antarctic Expedition 1911-14 (Mawson),http://en.wikipedia.org/wiki/Australasian_Antarctic_Expedition,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/125px-Flag_of_Australia.svg.png,expedition.gif,1911,,,,,,
-72.012083,2.532222,64,Station,Troll Station,http://en.wikipedia.org/wiki/Troll_(research_station),http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/125px-Flag_of_Norway.svg.png,station.gif,1990,,,,,,Norway
-71.888889,5.158333,63,Station,Tor Station,http://en.wikipedia.org/wiki/Tor_(research_station),http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/125px-Flag_of_Norway.svg.png,station.gif,1993,,,,,,Norway
-71.67275,-2.84025,56,Station,SANAE IV,http://en.wikipedia.org/wiki/SANAE_IV,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/125px-Flag_of_South_Africa.svg.png,station.gif,1962,,,,,, South Africa
-71.57,23.2,50,Station,Princess Elisabeth Base,http://en.wikipedia.org/wiki/Princess_Elisabeth_Base,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/125px-Flag_of_Belgium.svg.png,station.gif,2007,,,,,,Belgium
-71.526111,24.138056,6,Station,Asuka Station,http://en.wikipedia.org/wiki/Asuka_Station_(Antarctica),http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/125px-Flag_of_Japan.svg.png,station.gif,1985,,,,,, Japan
-71.3,170.2,74,Station,Borchgrevink's Hut - 1889 Norweigan Expedition,http://en.wikipedia.org/wiki/Cape_Adare#History,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/125px-Flag_of_Norway.svg.png,expedition.gif,1889,,,,,,
-70.822528,11.644472,47,Station,Novolazarevskaya Station,http://en.wikipedia.org/wiki/Novolazarevskaya_Station,http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/125px-Flag_of_Russia.svg.png,station.gif,1961,,,,,, Russia
-70.766028,11.732278,35,Station,Maitri Station,http://en.wikipedia.org/wiki/Maitri,http://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/125px-Flag_of_India.svg.png,station.gif,1989,,,,,, India
-70.698056,44.331667,43,Station,Mizuho Station,http://en.wikipedia.org/wiki/Mizuho_Station_(Antarctica),http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/125px-Flag_of_Japan.svg.png,station.gif,1970,,,,,, Japan
-70.668889,-8.267208,46,Station,Neumayer-Station III,http://en.wikipedia.org/wiki/Neumayer-Station_III,http://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,station.gif,2009,,,,,,Germany
-70.651556,-8.264417,45,Station,Neumayer Station,http://en.wikipedia.org/wiki/Neumayer_Station,http://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,station.gif,1992,,,,,,Germany
-70.4,25.75,26,Station,Jinnah Antarctic Station,http://en.wikipedia.org/wiki/Jinnah_Antarctic_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/125px-Flag_of_Pakistan.svg.png,station.gif,1991,,,,,,Pakistan
-69.5,159.383333,33,Station,Leningradskaya Station,http://en.wikipedia.org/wiki/Leningradskaya_Station,http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/125px-Flag_of_Russia.svg.png,station.gif,1971,,,,,, Russia
-69.407778,76.187222,10,Station,Bharati,http://en.wikipedia.org/wiki/Bharathi_(research_station),http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,station.gif,2012,,,,,, India
-69.388583,76.380764,32,Station,Law-Racoviţă Station,http://en.wikipedia.org/wiki/Law-Racovi%C5%A3%C4%83_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/125px-Flag_of_Romania.svg.png,station.gif,1986,,,,,,Romania
-69.380056,76.388639,52,Station,Progress Station,http://en.wikipedia.org/wiki/Progress_Station,http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/125px-Flag_of_Russia.svg.png,station.gif,1988,,,,,, Russia
-69.373333,76.37,68,Station,Zhongshan Station,http://en.wikipedia.org/wiki/Sun_Yat-Sen_Station,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/125px-Flag_of_the_People%27s_Republic_of_China.svg.png,station.gif,1989,,,,,, China
-69.004333,39.58025,59,Station,Showa Station,http://en.wikipedia.org/wiki/Showa_Station_(Antarctica),http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/125px-Flag_of_Japan.svg.png,station.gif,1957,,,,,, Japan
-68.576472,77.969222,16,Station,Davis Station,http://en.wikipedia.org/wiki/Davis_Station,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/125px-Flag_of_Australia.svg.png,station.gif,1957,,,,,,Australia
-68.183333,-67,90,Station,"Happenings in Antarctica - The West Australian - 14th February, 1950",http://en.wikipedia.org/wiki/Stonington_Island,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,star.gif,,,,,,,
-68.13025,-67.102,55,Station,San Martín Base,http://en.wikipedia.org/wiki/San_Mart%C3%ADn_Base,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/125px-Flag_of_Argentina.svg.png,station.gif,1951,,,,,,Argentina
-67.665833,45.842556,44,Station,Molodyozhnaya Station,http://en.wikipedia.org/wiki/Molodyozhnaya_Station_(Antarctica),http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,station.gif,1962,,,,,, Russia / Belarus
-67.602806,62.873,39,Station,Mawson Station,http://en.wikipedia.org/wiki/Mawson_Station,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/125px-Flag_of_Australia.svg.png,station.gif,1954,,,,,,Australia
-67.567778,-68.127389,53,Station,Rothera Research Station,http://en.wikipedia.org/wiki/Rothera_Research_Station,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,station.gif,1975,,,,,, United Kingdom
-67.396111,63.950694,94,Station,Emperor Penguin Colony,http://en.wikipedia.org/wiki/Emperor_Penguin,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_the_Antarctic_Treaty.svg/220px-Flag_of_the_Antarctic_Treaty.svg.png,penguin.gif,,,,,,,
-67.008333,142.661111,98,Station,Mawson's Huts,http://www.mawsons-huts.org.au/,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/125px-Flag_of_Australia.svg.png,expedition.gif,,,,,,,
-66.663139,140.001472,18,Station,Dumont d'Urville Station,http://en.wikipedia.org/wiki/Dumont_d%27Urville_Station,http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/125px-Flag_of_France.svg.png,station.gif,1956,,,,,,France
-66.552889,93.009667,42,Station,Mirny Station,http://en.wikipedia.org/wiki/Mirny_Station,http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/125px-Flag_of_Russia.svg.png,station.gif,1956,,,,,, Russia
